zip,lat,lon,city,state,precision
01252,42.19865,-73.44623,North Egremont,MA,coarse
01253,42.21316,-73.09043,Otis,MA,coarse
01254,42.23311,-73.23836,Richmond,MA,coarse
01255,42.14898,-73.14861,Sandisfield,MA,coarse
01256,42.36734,-73.12853,Savoy,MA,coarse
01257,42.31456,-73.26769,Sheffield,MA,coarse
01258,42.12808,-73.36089,South Egremont,MA,coarse
01259,42.19871,-73.27854,Southfield,MA,coarse
01260,42.28659,-73.31327,South Lee,MA,coarse
01262,42.30460,-73.33000,Stockbridge,MA,coarse
01263,42.39290,-73.22848,Stockbridge,MA,coarse
01264,42.22000,-73.19786,Tyringham,MA,coarse
01266,42.36048,-73.26535,West Stockbridge,MA,coarse
01267,42.64207,-73.25770,Williamstown,MA,coarse
01270,42.44373,-73.11613,Windsor,MA,coarse
01301,42.60133,-72.62362,Greenfield,MA,coarse
01302,42.52218,-72.62416,Greenfield,MA,coarse
01330,42.56239,-72.73815,Ashfield,MA,coarse
01331,42.54730,-72.18390,Athol,MA,coarse
01337,42.62706,-72.64289,Bernardston,MA,coarse
01338,42.57383,-72.76949,Buckland,MA,coarse
01339,42.59425,-72.66551,Charlemont,MA,coarse
01340,42.68154,-72.82299,Colrain,MA,coarse
01341,42.59082,-72.70976,Conway,MA,coarse
01342,42.54723,-72.60768,Deerfield,MA,coarse
01343,42.64267,-72.98623,Drury,MA,coarse
01344,42.62707,-72.55365,Erving,MA,coarse
01346,42.61801,-72.78890,Heath,MA,coarse
01347,42.55656,-72.51810,Lake Pleasant,MA,coarse
01349,42.62141,-72.70563,Turners Falls,MA,coarse
01350,42.72146,-72.97620,Monroe Bridge,MA,coarse
01351,42.54811,-72.48693,Montague,MA,coarse
01354,42.52218,-72.62416,Northfield,MA,coarse
01355,42.51872,-72.53437,New Salem,MA,coarse
01360,42.61415,-72.52821,Northfield,MA,coarse
01364,42.57832,-72.55659,Orange,MA,coarse
01366,42.45963,-72.18296,Petersham,MA,coarse
01367,42.68306,-72.71567,Rowe,MA,coarse
01368,42.67218,-72.19638,Royalston,MA,coarse
01369,42.52218,-72.62416,Shattuckville,MA,coarse
01370,42.58881,-72.75878,Shelburne Falls,MA,coarse
01373,42.46452,-72.68235,South Deerfield,MA,coarse
01375,42.56535,-72.70094,Sunderland,MA,coarse
01376,42.65488,-72.71812,Turners Falls,MA,coarse
01378,42.66706,-72.33965,Warwick,MA,coarse
01379,42.58101,-72.43718,Wendell,MA,coarse
01380,42.55343,-72.39269,Wendell Depot,MA,coarse
01420,42.58369,-71.81677,Fitchburg,MA,coarse
01430,42.65491,-71.92094,Ashburnham,MA,coarse
01431,42.44640,-71.45941,Ashby,MA,coarse
01432,42.44640,-71.45941,Ayer,MA,coarse
01434,42.53000,-71.61000,Devens,MA,coarse
